model,variable,coef,std_err,t,p_value,ci95_low,ci95_high,r_squared,adj_r_squared,nobs
hit_rate_design_capacity,Intercept,-0.5108337393609613,0.01635100499539503,-31.241733428913307,2.891247253428363e-214,-0.5428811202629701,-0.47878635845895257,0.9722816666598595,0.9707127043953232,57.0
hit_rate_design_capacity,alpha,1.0402223698897735,0.016293261084044833,63.84371824179572,0.0,1.0082881649743376,1.0721565748052093,0.9722816666598595,0.9707127043953232,57.0
hit_rate_design_capacity,capacity_ratio,0.9821373936095996,0.07698654743211183,12.757259889796547,2.840169664220516e-37,0.8312465333485759,1.1330282538706233,0.9722816666598595,0.9707127043953232,57.0
hit_rate_design_capacity,is_lfu,0.06565558950746482,0.0077209203677855226,8.503596252773663,1.8380600360816176e-17,0.05052286365910345,0.08078831535582619,0.9722816666598595,0.9707127043953232,57.0
abs_error_design_capacity,Intercept,0.2624106830985073,0.01767929677310699,14.842823584345023,7.742713059684304e-50,0.22775989815122238,0.2970614680457922,0.8749398006952647,0.8678609214893362,57.0
abs_error_design_capacity,alpha,-0.1535605663357229,0.017981510882091635,-8.539914545704766,1.3432113302659294e-17,-0.18880368005223758,-0.11831745261920824,0.8749398006952647,0.8678609214893362,57.0
abs_error_design_capacity,capacity_ratio,-0.1790204663458596,0.017594690315576793,-10.174686972885826,2.572256941931343e-24,-0.21350542568352582,-0.1445355070081934,0.8749398006952647,0.8678609214893362,57.0
abs_error_design_capacity,is_lfu,-0.061985516080365684,0.00588579080143868,-10.531382811841425,6.191812644250419e-26,-0.07352145407172264,-0.050449578089008726,0.8749398006952647,0.8678609214893362,57.0
hit_rate_actual_capacity,Intercept,-0.4875956542251492,0.015632063825013923,-31.19202043206313,1.3669427113829725e-213,-0.518233936326208,-0.4569573721240905,0.9723426356158086,0.9707771244242506,57.0
hit_rate_actual_capacity,alpha,1.0402166914838926,0.016229603426775888,64.09378369453715,0.0,1.008407253284044,1.0720261296837412,0.9723426356158086,0.9707771244242506,57.0
hit_rate_actual_capacity,actual_capacity_ratio,0.905685374171301,0.07251306520383197,12.489961245265906,8.469488771723237e-36,0.7635623779631857,1.0478083703794163,0.9723426356158086,0.9707771244242506,57.0
hit_rate_actual_capacity,is_lfu,0.0654567047573651,0.007685245867709232,8.517190716355834,1.6347017933299347e-17,0.050393899644319735,0.08051950987041048,0.9723426356158086,0.9707771244242506,57.0
abs_error_actual_capacity,Intercept,0.25817040607750535,0.017649120681426347,14.627947235308996,1.8632439703314506e-48,0.2235787651831087,0.292762046971902,0.8748863447588728,0.8678044397452241,57.0
abs_error_actual_capacity,alpha,-0.15356214530117665,0.017969429630181066,-8.545743991966056,1.2771083917406104e-17,-0.18878158019905844,-0.11834271040329486,0.8748863447588728,0.8678044397452241,57.0
abs_error_actual_capacity,actual_capacity_ratio,-0.16503043624220629,0.016321463208917877,-10.111252534762654,4.925054185061249e-24,-0.19701991630668086,-0.1330409561777317,0.8748863447588728,0.8678044397452241,57.0
abs_error_actual_capacity,is_lfu,-0.06194725484916934,0.00588910250630534,-10.518963591284699,7.064638726448299e-26,-0.07348968366279238,-0.05040482603554631,0.8748863447588728,0.8678044397452241,57.0
hit_rate_interaction,Intercept,-0.5330512025012023,0.019991663009134616,-26.66367486574978,1.242344947594321e-156,-0.5722341419901678,-0.4938682630122368,0.9740325741688703,0.9714867481069949,57.0
hit_rate_interaction,alpha,1.0652728595478596,0.01963231494139144,54.26119450141413,0.0,1.0267942293295849,1.1037514897661342,0.9740325741688703,0.9714867481069949,57.0
hit_rate_interaction,capacity_ratio,0.9673163059163057,0.08184139587037804,11.819401363197173,3.0988481465427387e-32,0.8069101175658796,1.1277224942667319,0.9740325741688703,0.9714867481069949,57.0
hit_rate_interaction,is_lfu,0.1676921747234247,0.02479746752882145,6.762471793884616,1.3565709567535287e-11,0.11909003145913322,0.2162943179877162,0.9740325741688703,0.9714867481069949,57.0
hit_rate_interaction,alpha:is_lfu,-0.11849785954785898,0.023150162308052346,-5.118662148931964,3.07710616877916e-07,-0.16387134390789823,-0.07312437518781972,0.9740325741688703,0.9714867481069949,57.0
hit_rate_interaction,capacity_ratio:is_lfu,0.13871424963925044,0.096936595436039,1.4309791778356535,0.15243618283071358,-0.051277986199315756,0.32870648547781667,0.9740325741688703,0.9714867481069949,57.0
