N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240601,251.92,1229256,987,0.1,0.10927,10927,89073,0.00927,0.00927
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240602,251.92,1193424,824,0.1,0.09341,9341,90659,-0.006589999999999999,0.006589999999999999
10000,1000,0.1,uniform,,allkeys-lru,50000,100000,20240603,251.92,1193424,827,0.1,0.09402,9402,90598,-0.005979999999999999,0.005979999999999999
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240701,251.92,1193424,828,0.3861353718310886,0.22261,22261,77739,-0.1635253718310886,0.1635253718310886
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240702,251.92,1193424,829,0.3861353718310886,0.21972,21972,78028,-0.1664153718310886,0.1664153718310886
10000,1000,0.1,zipf,0.6,allkeys-lru,50000,100000,20240703,251.92,1193424,828,0.3861353718310886,0.22373,22373,77627,-0.16240537183108858,0.16240537183108858
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240801,251.92,1193424,829,0.5706175855129897,0.40465,40465,59535,-0.16596758551298968,0.16596758551298968
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240802,251.92,1193424,829,0.5706175855129897,0.40625,40625,59375,-0.1643675855129897,0.1643675855129897
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20240803,251.92,1193424,829,0.5706175855129897,0.40907,40907,59093,-0.1615475855129897,0.1615475855129897
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240901,251.92,1193424,829,0.7647907806039529,0.65401,65401,34599,-0.11078078060395291,0.11078078060395291
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240902,251.92,1193424,829,0.7647907806039529,0.65136,65136,34864,-0.11343078060395284,0.11343078060395284
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240903,251.92,1193424,829,0.7647907806039529,0.65142,65142,34858,-0.11337078060395289,0.11337078060395289
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241001,251.92,1193424,830,0.9034454900897962,0.85237,85237,14763,-0.05107549008979628,0.05107549008979628
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241002,251.92,1193424,830,0.9034454900897962,0.8522,85220,14780,-0.051245490089796286,0.051245490089796286
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241003,251.92,1193424,830,0.9034454900897962,0.85282,85282,14718,-0.05062549008979622,0.05062549008979622
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241101,251.92,1067464,282,0.6940229720091813,0.5203,52030,47970,-0.1737229720091813,0.1737229720091813
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241102,251.92,1067464,284,0.6940229720091813,0.52044,52044,47956,-0.17358297200918127,0.17358297200918127
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241103,251.92,1067464,280,0.6940229720091813,0.5178,51780,48220,-0.17622297200918124,0.17622297200918124
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241201,251.92,1193424,829,0.7647907806039529,0.65194,65194,34806,-0.11285078060395293,0.11285078060395293
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241202,251.92,1193424,829,0.7647907806039529,0.64865,64865,35135,-0.11614078060395294,0.11614078060395294
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241203,251.92,1193424,829,0.7647907806039529,0.65232,65232,34768,-0.11247078060395288,0.11247078060395288
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241301,251.92,1445344,1918,0.8355841125492963,0.76665,76665,23335,-0.06893411254929627,0.06893411254929627
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241302,251.92,1445344,1918,0.8355841125492963,0.7657,76570,23430,-0.06988411254929627,0.06988411254929627
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241303,251.92,1445344,1918,0.8355841125492963,0.76406,76406,23594,-0.07152411254929636,0.07152411254929636
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241401,251.92,1697264,2969,0.8770019817254792,0.82466,82466,17534,-0.052341981725479214,0.052341981725479214
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241402,251.92,1697264,2969,0.8770019817254792,0.82405,82405,17595,-0.052951981725479214,0.052951981725479214
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241403,251.92,1697264,2969,0.8770019817254792,0.82621,82621,17379,-0.05079198172547916,0.05079198172547916
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241501,251.92,1949184,4094,0.9063902109591406,0.86785,86785,13215,-0.03854021095914062,0.03854021095914062
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241502,251.92,1949184,4094,0.9063902109591406,0.87057,87057,12943,-0.035820210959140675,0.035820210959140675
10000,4000,0.4,zipf,1.0,allkeys-lru,50000,100000,20241503,251.92,1949184,4094,0.9063902109591406,0.87188,87188,12812,-0.03451021095914064,0.03451021095914064
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241601,251.92,1193424,829,0.5706175855129897,0.4061,40610,59390,-0.16451758551298967,0.16451758551298967
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241602,251.92,1193424,827,0.5706175855129897,0.40422,40422,59578,-0.16639758551298967,0.16639758551298967
10000,1000,0.1,zipf,0.8,allkeys-lru,50000,100000,20241603,251.92,1193632,829,0.5706175855129897,0.40897,40897,59103,-0.1616475855129897,0.1616475855129897
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241701,251.92,1193600,830,0.5706175855129897,0.50021,50021,49979,-0.07040758551298965,0.07040758551298965
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241702,251.92,1193600,830,0.5706175855129897,0.49521,49521,50479,-0.0754075855129897,0.0754075855129897
10000,1000,0.1,zipf,0.8,allkeys-lfu,50000,100000,20241703,251.92,1193600,830,0.5706175855129897,0.4998,49980,50020,-0.07081758551298967,0.07081758551298967
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241801,251.92,1193600,830,0.7647907806039529,0.65204,65204,34796,-0.11275078060395294,0.11275078060395294
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241802,251.92,1193600,829,0.7647907806039529,0.65099,65099,34901,-0.11380078060395293,0.11380078060395293
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241803,251.92,1193600,829,0.7647907806039529,0.64953,64953,35047,-0.11526078060395284,0.11526078060395284
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241901,251.92,1193600,830,0.7647907806039529,0.71448,71448,28552,-0.05031078060395289,0.05031078060395289
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241902,251.92,1193600,828,0.7647907806039529,0.7193,71930,28070,-0.04549078060395284,0.04549078060395284
10000,1000,0.1,zipf,1.0,allkeys-lfu,50000,100000,20241903,251.92,1193600,830,0.7647907806039529,0.71599,71599,28401,-0.048800780603952876,0.048800780603952876
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242001,251.92,1193600,830,0.9034454900897962,0.85126,85126,14874,-0.05218549008979623,0.05218549008979623
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242002,251.92,1193600,830,0.9034454900897962,0.84958,84958,15042,-0.05386549008979624,0.05386549008979624
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20242003,251.92,1193600,827,0.9034454900897962,0.85274,85274,14726,-0.05070549008979619,0.05070549008979619
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242101,251.92,1193600,828,0.9034454900897962,0.87595,87595,12405,-0.027495490089796237,0.027495490089796237
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242102,251.92,1193600,830,0.9034454900897962,0.87734,87734,12266,-0.026105490089796235,0.026105490089796235
10000,1000,0.1,zipf,1.2,allkeys-lfu,50000,100000,20242103,251.92,1193600,830,0.9034454900897962,0.87806,87806,12194,-0.025385490089796292,0.025385490089796292
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242201,251.92,1067640,284,0.6940229720091813,0.51821,51821,48179,-0.17581297200918133,0.17581297200918133
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242202,251.92,1067640,284,0.6940229720091813,0.52121,52121,47879,-0.17281297200918133,0.17281297200918133
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20242203,251.92,1067640,284,0.6940229720091813,0.51982,51982,48018,-0.17420297200918133,0.17420297200918133
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242301,251.92,1067640,286,0.6940229720091813,0.62667,62667,37333,-0.06735297200918133,0.06735297200918133
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242302,251.92,1067640,286,0.6940229720091813,0.62704,62704,37296,-0.06698297200918124,0.06698297200918124
10000,500,0.05,zipf,1.0,allkeys-lfu,50000,100000,20242303,251.92,1067640,286,0.6940229720091813,0.62433,62433,37567,-0.06969297200918123,0.06969297200918123
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242401,251.92,1445520,1918,0.8355841125492963,0.76716,76716,23284,-0.06842411254929637,0.06842411254929637
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242402,251.92,1445520,1918,0.8355841125492963,0.76663,76663,23337,-0.06895411254929629,0.06895411254929629
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20242403,251.92,1445520,1918,0.8355841125492963,0.76713,76713,23287,-0.06845411254929634,0.06845411254929634
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242501,251.92,1445520,1918,0.8355841125492963,0.79898,79898,20102,-0.0366041125492963,0.0366041125492963
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242502,251.92,1445520,1918,0.8355841125492963,0.79612,79612,20388,-0.03946411254929627,0.03946411254929627
10000,2000,0.2,zipf,1.0,allkeys-lfu,50000,100000,20242503,251.92,1445520,1918,0.8355841125492963,0.79671,79671,20329,-0.03887411254929629,0.03887411254929629
